Granularidade_Geografica;Categoria;Filtro;Localidade;Estado;UF;Ano;Valor;Tipo Valor;Indicador
Rio Grande do Norte;Localidade;Total;Estado;Rio Grande do Norte;RN;2019;0,201;%;5.5
Paraíba;Localidade;Total;Estado;Paraíba;PB;2019;0,238;%;5.5
Pernambuco;Localidade;Total;Estado;Pernambuco;PE;2019;0,183;%;5.5
Alagoas;Localidade;Total;Estado;Alagoas;AL;2019;0,253;%;5.5
Sergipe;Localidade;Total;Estado;Sergipe;SE;2019;0,212;%;5.5
Bahia;Localidade;Total;Estado;Bahia;BA;2019;0,217;%;5.5
Sudeste;Localidade;Total;Região;;;2019;0,088;%;5.5
Minas Gerais;Localidade;Total;Estado;Minas Gerais;MG;2019;0,128;%;5.5
Espírito Santo;Localidade;Total;Estado;Espírito Santo;ES;2019;0,112;%;5.5
Rio de Janeiro;Localidade;Total;Estado;Rio de Janeiro;RJ;2019;0,071;%;5.5
São Paulo;Localidade;Total;Estado;São Paulo;SP;2019;0,074;%;5.5
Sul;Localidade;Total;Região;;;2019;0,096;%;5.5
Paraná;Localidade;Total;Estado;Paraná;PR;2019;0,117;%;5.5
Santa Catarina;Localidade;Total;Estado;Santa Catarina;SC;2019;0,087;%;5.5
Rio Grande do Sul;Localidade;Total;Estado;Rio Grande do Sul;RS;2019;0,081;%;5.5
Centro-Oeste;Localidade;Total;Região;;;2019;0,117;%;5.5
Mato Grosso do Sul;Localidade;Total;Estado;Mato Grosso do Sul;MS;2019;0,126;%;5.5
Mato Grosso;Localidade;Total;Estado;Mato Grosso;MT;2019;0,137;%;5.5
Goiás;Localidade;Total;Estado;Goiás;GO;2019;0,129;%;5.5
Distrito Federal;Localidade;Total;Estado;Distrito Federal;DF;2019;0,062;%;5.5
Brasil;Localidade;Total;Brasil;;;2022;0,123;%;5.5
Norte;Localidade;Total;Região;;;2022;0,144;%;5.5
Rondônia;Localidade;Total;Estado;Rondônia;RO;2022;0,147;%;5.5
Acre;Localidade;Total;Estado;Acre;AC;2022;0,163;%;5.5
Amazonas;Localidade;Total;Estado;Amazonas;AM;2022;0,114;%;5.5
Roraima;Localidade;Total;Estado;Roraima;RR;2022;0,096;%;5.5
Pará;Localidade;Total;Estado;Pará;PA;2022;0,16;%;5.5
Amapá;Localidade;Total;Estado;Amapá;AP;2022;0,114;%;5.5
Tocantins;Localidade;Total;Estado;Tocantins;TO;2022;0,154;%;5.5
Nordeste;Localidade;Total;Região;;;2022;0,199;%;5.5
Maranhão;Localidade;Total;Estado;Maranhão;MA;2022;0,2;%;5.5
Piauí;Localidade;Total;Estado;Piauí;PI;2022;0,244;%;5.5
Ceará;Localidade;Total;Estado;Ceará;CE;2022;0,199;%;5.5
Rio Grande do Norte;Localidade;Total;Estado;Rio Grande do Norte;RN;2022;0,175;%;5.5
Paraíba;Localidade;Total;Estado;Paraíba;PB;2022;0,228;%;5.5
Pernambuco;Localidade;Total;Estado;Pernambuco;PE;2022;0,183;%;5.5
Alagoas;Localidade;Total;Estado;Alagoas;AL;2022;0,217;%;5.5
Sergipe;Localidade;Total;Estado;Sergipe;SE;2022;0,188;%;5.5
Bahia;Localidade;Total;Estado;Bahia;BA;2022;0,194;%;5.5
Sudeste;Localidade;Total;Região;;;2022;0,085;%;5.5
Minas Gerais;Localidade;Total;Estado;Minas Gerais;MG;2022;0,119;%;5.5
Espírito Santo;Localidade;Total;Estado;Espírito Santo;ES;2022;0,112;%;5.5
Rio de Janeiro;Localidade;Total;Estado;Rio de Janeiro;RJ;2022;0,073;%;5.5
São Paulo;Localidade;Total;Estado;São Paulo;SP;2022;0,072;%;5.5
Sul;Localidade;Total;Região;;;2022;0,094;%;5.5
Paraná;Localidade;Total;Estado;Paraná;PR;2022;0,115;%;5.5
Santa Catarina;Localidade;Total;Estado;Santa Catarina;SC;2022;0,085;%;5.5
Rio Grande do Sul;Localidade;Total;Estado;Rio Grande do Sul;RS;2022;0,08;%;5.5
Centro-Oeste;Localidade;Total;Região;;;2022;0,105;%;5.5
Mato Grosso do Sul;Localidade;Total;Estado;Mato Grosso do Sul;MS;2022;0,111;%;5.5
Mato Grosso;Localidade;Total;Estado;Mato Grosso;MT;2022;0,131;%;5.5
Goiás;Localidade;Total;Estado;Goiás;GO;2022;0,114;%;5.5
Distrito Federal;Localidade;Total;Estado;Distrito Federal;DF;2022;0,052;%;5.5
Brasil;Localidade;Total;Brasil;;;2023;0,123;%;5.5
Norte;Localidade;Total;Região;;;2023;0,144;%;5.5
Rondônia;Localidade;Total;Estado;Rondônia;RO;2023;0,166;%;5.5
Acre;Localidade;Total;Estado;Acre;AC;2023;0,192;%;5.5
Amazonas;Localidade;Total;Estado;Amazonas;AM;2023;0,11;%;5.5
Roraima;Localidade;Total;Estado;Roraima;RR;2023;0,096;%;5.5
Pará;Localidade;Total;Estado;Pará;PA;2023;0,155;%;5.5
Amapá;Localidade;Total;Estado;Amapá;AP;2023;0,103;%;5.5
Tocantins;Localidade;Total;Estado;Tocantins;TO;2023;0,157;%;5.5
Nordeste;Localidade;Total;Região;;;2023;0,194;%;5.5
Maranhão;Localidade;Total;Estado;Maranhão;MA;2023;0,201;%;5.5
Piauí;Localidade;Total;Estado;Piauí;PI;2023;0,227;%;5.5
Ceará;Localidade;Total;Estado;Ceará;CE;2023;0,194;%;5.5
Rio Grande do Norte;Localidade;Total;Estado;Rio Grande do Norte;RN;2023;0,172;%;5.5
Paraíba;Localidade;Total;Estado;Paraíba;PB;2023;0,216;%;5.5
Pernambuco;Localidade;Total;Estado;Pernambuco;PE;2023;0,17;%;5.5
Alagoas;Localidade;Total;Estado;Alagoas;AL;2023;0,211;%;5.5
Sergipe;Localidade;Total;Estado;Sergipe;SE;2023;0,189;%;5.5
Bahia;Localidade;Total;Estado;Bahia;BA;2023;0,196;%;5.5
